,MAP_10,MAP_100,MRR_10,MRR_100,Mean NDCG_10,Mean NDCG_100,%DeltaMean,S10,S100
baseline,0.5384678619548107,0.46831824924731785,0.5978725057424378,0.6028631009279318,0.44580568344217986,0.4459892913656235,0.021470588235294026,0.3232459317387943,0.09493181646439364
latefusion_weighted_sum_all,0.7448601544809241,0.6557212476718379,0.8058978991916305,0.8079706530244403,0.6693812060652654,0.6308970055379158,0.1325714285714286,20.09559839591632,10.92894003705322
latefusion_weighted_sum_selected,0.7569790013997189,0.6636791432633635,0.8158885961303614,0.8178115813326634,0.681603814931831,0.6371542878933193,0.12813953488372087,16.508806930183837,8.760869137318162
latefusion_bordacount,0.7000944123769282,0.6261068965929188,0.7559920340080886,0.7585855009957002,0.626934055028279,0.6030418532164541,0.14593750000000005,6.529245111894069,5.1791939308268455
